N	M	D	H	Qh
4472	7	6	7	0
4473	7	6	8	0
4474	7	6	9	0
4475	7	6	10	0
4476	7	6	11	0
4477	7	6	12	0
4478	7	6	13	0
4479	7	6	14	0
4480	7	6	15	0
4481	7	6	16	0
4482	7	6	17	0
4483	7	6	18	0
4484	7	6	19	0
4485	7	6	20	0
4486	7	6	21	0
4487	7	6	22	0
4488	7	6	23	0
4489	7	7	0	0
4490	7	7	1	0
4491	7	7	2	0
4492	7	7	3	0
4493	7	7	4	0
4494	7	7	5	0
4495	7	7	6	0
4496	7	7	7	0
4497	7	7	8	0
4498	7	7	9	0
4499	7	7	10	0
4500	7	7	11	0
4501	7	7	12	0
4502	7	7	13	0
4503	7	7	14	0
4504	7	7	15	0
4505	7	7	16	0
4506	7	7	17	0
4507	7	7	18	0
4508	7	7	19	0
4509	7	7	20	0
4510	7	7	21	0
4511	7	7	22	0
4512	7	7	23	0
4513	7	8	0	0
4514	7	8	1	0
4515	7	8	2	0
4516	7	8	3	0
4517	7	8	4	0
4518	7	8	5	0
4519	7	8	6	0
4520	7	8	7	0
4521	7	8	8	0
4522	7	8	9	0
4523	7	8	10	0
4524	7	8	11	0
4525	7	8	12	0
4526	7	8	13	0
4527	7	8	14	0
4528	7	8	15	0
4529	7	8	16	0
4530	7	8	17	0
4531	7	8	18	0
4532	7	8	19	0
4533	7	8	20	0
4534	7	8	21	0
4535	7	8	22	0
4536	7	8	23	0
4537	7	9	0	0
4538	7	9	1	0
4539	7	9	2	0
4540	7	9	3	0
4541	7	9	4	0
4542	7	9	5	0
4543	7	9	6	0
4544	7	9	7	0
4545	7	9	8	0
4546	7	9	9	0
4547	7	9	10	0
4548	7	9	11	0
4549	7	9	12	0
4550	7	9	13	0
4551	7	9	14	0
4552	7	9	15	0
4553	7	9	16	0
4554	7	9	17	0
4555	7	9	18	0
4556	7	9	19	0
4557	7	9	20	0
4558	7	9	21	0
4559	7	9	22	0
4560	7	9	23	0
4561	7	10	0	0
4562	7	10	1	0
4563	7	10	2	0
4564	7	10	3	0
4565	7	10	4	0
4566	7	10	5	0
4567	7	10	6	0
4568	7	10	7	0
4569	7	10	8	0
4570	7	10	9	0
4571	7	10	10	0
4572	7	10	11	0
4573	7	10	12	0
4574	7	10	13	0
4575	7	10	14	0
4576	7	10	15	0
4577	7	10	16	0
4578	7	10	17	0
4579	7	10	18	0
4580	7	10	19	0
4581	7	10	20	0
4582	7	10	21	0
4583	7	10	22	0
4584	7	10	23	0
4585	7	11	0	0
4586	7	11	1	0
4587	7	11	2	0
4588	7	11	3	0
4589	7	11	4	0
4590	7	11	5	0
4591	7	11	6	0
4592	7	11	7	0
4593	7	11	8	0
4594	7	11	9	0
4595	7	11	10	0
4596	7	11	11	0
4597	7	11	12	0
4598	7	11	13	0
4599	7	11	14	0
4600	7	11	15	0
4601	7	11	16	0
4602	7	11	17	0
4603	7	11	18	0
4604	7	11	19	0
4605	7	11	20	0
4606	7	11	21	0
4607	7	11	22	0
4608	7	11	23	0
4609	7	12	0	0
4610	7	12	1	0
4611	7	12	2	0
4612	7	12	3	0
4613	7	12	4	0
4614	7	12	5	0
4615	7	12	6	0
4616	7	12	7	0
4617	7	12	8	0
4618	7	12	9	0
4619	7	12	10	0
4620	7	12	11	0
4621	7	12	12	0
4622	7	12	13	0
4623	7	12	14	0
4624	7	12	15	0
4625	7	12	16	0
4626	7	12	17	0
4627	7	12	18	0
4628	7	12	19	0
4629	7	12	20	0
4630	7	12	21	0
4631	7	12	22	0
4632	7	12	23	0
4633	7	13	0	0
4634	7	13	1	0
4635	7	13	2	0
4636	7	13	3	0
4637	7	13	4	0
4638	7	13	5	0
4639	7	13	6	0
4640	7	13	7	0
4641	7	13	8	0
4642	7	13	9	0
4643	7	13	10	0
4644	7	13	11	0
4645	7	13	12	0
4646	7	13	13	0
4647	7	13	14	0
4648	7	13	15	0
4649	7	13	16	0
4650	7	13	17	0
4651	7	13	18	0
4652	7	13	19	0
4653	7	13	20	0
4654	7	13	21	0
4655	7	13	22	0
4656	7	13	23	0
4657	7	14	0	0
4658	7	14	1	0
4659	7	14	2	0
4660	7	14	3	0
4661	7	14	4	0
4662	7	14	5	0
4663	7	14	6	0
4664	7	14	7	0
4665	7	14	8	0
4666	7	14	9	0
4667	7	14	10	0
4668	7	14	11	0
4669	7	14	12	0
4670	7	14	13	0
4671	7	14	14	0
4672	7	14	15	0
4673	7	14	16	0
4674	7	14	17	0
4675	7	14	18	0
4676	7	14	19	0
4677	7	14	20	0
4678	7	14	21	0
4679	7	14	22	0
4680	7	14	23	0
4681	7	15	0	0
4682	7	15	1	0
4683	7	15	2	0
4684	7	15	3	0
4685	7	15	4	0
4686	7	15	5	0
4687	7	15	6	0
4688	7	15	7	0
4689	7	15	8	0
4690	7	15	9	0
4691	7	15	10	0
4692	7	15	11	0
4693	7	15	12	0
4694	7	15	13	0
4695	7	15	14	0
4696	7	15	15	0
4697	7	15	16	0
4698	7	15	17	0
4699	7	15	18	0
4700	7	15	19	0
4701	7	15	20	0
4702	7	15	21	0
4703	7	15	22	0
4704	7	15	23	0
4705	7	16	0	0
4706	7	16	1	0
4707	7	16	2	0
4708	7	16	3	0
4709	7	16	4	0
4710	7	16	5	0
4711	7	16	6	0
4712	7	16	7	0
4713	7	16	8	0
4714	7	16	9	0
4715	7	16	10	0
4716	7	16	11	0
4717	7	16	12	0
4718	7	16	13	0
4719	7	16	14	0
4720	7	16	15	0
4721	7	16	16	0
4722	7	16	17	0
4723	7	16	18	0
4724	7	16	19	0
4725	7	16	20	0
4726	7	16	21	0
4727	7	16	22	0
4728	7	16	23	0
4729	7	17	0	0
4730	7	17	1	0
4731	7	17	2	0
4732	7	17	3	0
4733	7	17	4	0
4734	7	17	5	0
4735	7	17	6	0
4736	7	17	7	0
4737	7	17	8	0
4738	7	17	9	0
4739	7	17	10	0
4740	7	17	11	0
4741	7	17	12	0
4742	7	17	13	0
4743	7	17	14	0
4744	7	17	15	0
4745	7	17	16	0
4746	7	17	17	0
4747	7	17	18	0
4748	7	17	19	0
4749	7	17	20	0
4750	7	17	21	0
4751	7	17	22	0
4752	7	17	23	0
4753	7	18	0	0
4754	7	18	1	0
4755	7	18	2	0
4756	7	18	3	0
4757	7	18	4	0
4758	7	18	5	0
4759	7	18	6	0
4760	7	18	7	0
4761	7	18	8	0
4762	7	18	9	0
4763	7	18	10	0
4764	7	18	11	0
4765	7	18	12	0
4766	7	18	13	0
4767	7	18	14	0
4768	7	18	15	0
4769	7	18	16	0
4770	7	18	17	0
4771	7	18	18	0
4772	7	18	19	0
4773	7	18	20	0
4774	7	18	21	0
4775	7	18	22	0
4776	7	18	23	0
4777	7	19	0	0
4778	7	19	1	0
4779	7	19	2	0
4780	7	19	3	0
4781	7	19	4	0
4782	7	19	5	0
4783	7	19	6	0
4784	7	19	7	0
4785	7	19	8	0
4786	7	19	9	0
4787	7	19	10	0
4788	7	19	11	0
4789	7	19	12	0
4790	7	19	13	0
4791	7	19	14	0
4792	7	19	15	0
4793	7	19	16	0
4794	7	19	17	0
4795	7	19	18	0
4796	7	19	19	0
4797	7	19	20	0
4798	7	19	21	0
4799	7	19	22	0
4800	7	19	23	0
4801	7	20	0	0
4802	7	20	1	0
4803	7	20	2	0
4804	7	20	3	0
4805	7	20	4	0
4806	7	20	5	0
4807	7	20	6	0
4808	7	20	7	0
4809	7	20	8	0
4810	7	20	9	0
4811	7	20	10	0
4812	7	20	11	0
4813	7	20	12	0
4814	7	20	13	0
4815	7	20	14	0
4816	7	20	15	0
4817	7	20	16	0
4818	7	20	17	0
4819	7	20	18	0
4820	7	20	19	0
4821	7	20	20	0
4822	7	20	21	0
4823	7	20	22	0
4824	7	20	23	0
4825	7	21	0	0
4826	7	21	1	0
4827	7	21	2	0
4828	7	21	3	0
4829	7	21	4	0
4830	7	21	5	0
4831	7	21	6	0
4832	7	21	7	0
4833	7	21	8	0
4834	7	21	9	0
4835	7	21	10	0
4836	7	21	11	0
4837	7	21	12	0
4838	7	21	13	0
4839	7	21	14	0
4840	7	21	15	0
4841	7	21	16	0
4842	7	21	17	0
4843	7	21	18	0
4844	7	21	19	0
4845	7	21	20	0
4846	7	21	21	0
4847	7	21	22	0
4848	7	21	23	0
4849	7	22	0	0
4850	7	22	1	0
4851	7	22	2	0
4852	7	22	3	0
4853	7	22	4	0
4854	7	22	5	0
4855	7	22	6	0
4856	7	22	7	0
4857	7	22	8	0
4858	7	22	9	0
4859	7	22	10	0
4860	7	22	11	0
4861	7	22	12	0
4862	7	22	13	0
4863	7	22	14	0
4864	7	22	15	0
4865	7	22	16	0
4866	7	22	17	0
4867	7	22	18	0
4868	7	22	19	0
4869	7	22	20	0
4870	7	22	21	0
4871	7	22	22	0
4872	7	22	23	0
4873	7	23	0	0
4874	7	23	1	0
4875	7	23	2	0
4876	7	23	3	0
4877	7	23	4	0
4878	7	23	5	0
4879	7	23	6	0
4880	7	23	7	0
4881	7	23	8	0
4882	7	23	9	0
4883	7	23	10	0
4884	7	23	11	0
4885	7	23	12	0
4886	7	23	13	0
4887	7	23	14	0
4888	7	23	15	0
4889	7	23	16	0
4890	7	23	17	0
4891	7	23	18	0
4892	7	23	19	0
4893	7	23	20	0
4894	7	23	21	0
4895	7	23	22	0
4896	7	23	23	0
4897	7	24	0	0
4898	7	24	1	0
4899	7	24	2	0
4900	7	24	3	0
4901	7	24	4	0
4902	7	24	5	0
4903	7	24	6	0
4904	7	24	7	0
4905	7	24	8	0
4906	7	24	9	0
4907	7	24	10	0
4908	7	24	11	0
4909	7	24	12	0
4910	7	24	13	0
4911	7	24	14	0
4912	7	24	15	0
4913	7	24	16	0
4914	7	24	17	0
4915	7	24	18	0
4916	7	24	19	0
4917	7	24	20	0
4918	7	24	21	0
4919	7	24	22	0
4920	7	24	23	0
4921	7	25	0	0
4922	7	25	1	0
4923	7	25	2	0
4924	7	25	3	0
4925	7	25	4	0
4926	7	25	5	0
4927	7	25	6	0
4928	7	25	7	0
4929	7	25	8	0
4930	7	25	9	0
4931	7	25	10	0
4932	7	25	11	0
4933	7	25	12	0
4934	7	25	13	0
4935	7	25	14	0
4936	7	25	15	0
4937	7	25	16	0
4938	7	25	17	0
4939	7	25	18	0
4940	7	25	19	0
4941	7	25	20	0
4942	7	25	21	0
4943	7	25	22	0
4944	7	25	23	0
4945	7	26	0	0
4946	7	26	1	0
4947	7	26	2	0
4948	7	26	3	0
4949	7	26	4	0
4950	7	26	5	0
4951	7	26	6	0
4952	7	26	7	0
4953	7	26	8	0
4954	7	26	9	0
4955	7	26	10	0
4956	7	26	11	0
4957	7	26	12	0
4958	7	26	13	0
4959	7	26	14	0
4960	7	26	15	0
4961	7	26	16	0
4962	7	26	17	0
4963	7	26	18	0
4964	7	26	19	0
4965	7	26	20	0
4966	7	26	21	0
4967	7	26	22	0
4968	7	26	23	0
4969	7	27	0	0
4970	7	27	1	0
4971	7	27	2	0
4972	7	27	3	0
4973	7	27	4	0
4974	7	27	5	0
4975	7	27	6	0
4976	7	27	7	0
4977	7	27	8	0
4978	7	27	9	0
4979	7	27	10	0
4980	7	27	11	0
4981	7	27	12	0
4982	7	27	13	0
4983	7	27	14	0
4984	7	27	15	0
4985	7	27	16	0
4986	7	27	17	0
4987	7	27	18	0
4988	7	27	19	0
4989	7	27	20	0
4990	7	27	21	0
4991	7	27	22	0
4992	7	27	23	0
4993	7	28	0	0
4994	7	28	1	0
4995	7	28	2	0
4996	7	28	3	0
4997	7	28	4	0
4998	7	28	5	0
4999	7	28	6	0
5000	7	28	7	0
5001	7	28	8	0
5002	7	28	9	0
5003	7	28	10	0
5004	7	28	11	0
5005	7	28	12	0
5006	7	28	13	0
5007	7	28	14	0
5008	7	28	15	0
5009	7	28	16	0
5010	7	28	17	0
5011	7	28	18	0
5012	7	28	19	0
5013	7	28	20	0
5014	7	28	21	0
5015	7	28	22	0
5016	7	28	23	0
5017	7	29	0	0
5018	7	29	1	0
5019	7	29	2	0
5020	7	29	3	0
5021	7	29	4	0
5022	7	29	5	0
5023	7	29	6	0
5024	7	29	7	0
5025	7	29	8	0
5026	7	29	9	0
5027	7	29	10	0
5028	7	29	11	0
5029	7	29	12	0
5030	7	29	13	0
5031	7	29	14	0
5032	7	29	15	0
5033	7	29	16	0
5034	7	29	17	0
5035	7	29	18	0
5036	7	29	19	0
5037	7	29	20	0
5038	7	29	21	0
5039	7	29	22	0
5040	7	29	23	0
5041	7	30	0	0
5042	7	30	1	0
5043	7	30	2	0
5044	7	30	3	0
5045	7	30	4	0
5046	7	30	5	0
5047	7	30	6	0
5048	7	30	7	0
5049	7	30	8	0
5050	7	30	9	0
5051	7	30	10	0
5052	7	30	11	0
5053	7	30	12	0
5054	7	30	13	0
5055	7	30	14	0
5056	7	30	15	0
5057	7	30	16	0
5058	7	30	17	0
5059	7	30	18	0
5060	7	30	19	0
5061	7	30	20	0
5062	7	30	21	0
5063	7	30	22	0
5064	7	30	23	0
5065	7	31	0	0
5066	7	31	1	0
5067	7	31	2	0
5068	7	31	3	0
5069	7	31	4	0
5070	7	31	5	0
5071	7	31	6	0
5072	7	31	7	0
5073	7	31	8	0
5074	7	31	9	0
5075	7	31	10	0
5076	7	31	11	0
5077	7	31	12	0
5078	7	31	13	0
5079	7	31	14	0
5080	7	31	15	0
5081	7	31	16	0
5082	7	31	17	0
5083	7	31	18	0
5084	7	31	19	0
5085	7	31	20	0
5086	7	31	21	0
5087	7	31	22	0
5088	7	31	23	0
5089	8	1	0	0
5090	8	1	1	0
5091	8	1	2	0
5092	8	1	3	0
5093	8	1	4	0
5094	8	1	5	0
5095	8	1	6	0
5096	8	1	7	0
5097	8	1	8	0
5098	8	1	9	0
5099	8	1	10	0
5100	8	1	11	0
5101	8	1	12	0
5102	8	1	13	0
5103	8	1	14	0
5104	8	1	15	0
5105	8	1	16	0
5106	8	1	17	0
5107	8	1	18	0
5108	8	1	19	0
5109	8	1	20	0
5110	8	1	21	0
5111	8	1	22	0
5112	8	1	23	0
5113	8	2	0	0
5114	8	2	1	0
5115	8	2	2	0
5116	8	2	3	0
5117	8	2	4	0
5118	8	2	5	0
5119	8	2	6	0
5120	8	2	7	0
5121	8	2	8	0
5122	8	2	9	0
5123	8	2	10	0
5124	8	2	11	0
5125	8	2	12	0
5126	8	2	13	0
5127	8	2	14	0
5128	8	2	15	0
5129	8	2	16	0
5130	8	2	17	0
5131	8	2	18	0
5132	8	2	19	0
5133	8	2	20	0
5134	8	2	21	0
5135	8	2	22	0
5136	8	2	23	0
5137	8	3	0	0
5138	8	3	1	0
5139	8	3	2	0
5140	8	3	3	0
5141	8	3	4	0
5142	8	3	5	0
5143	8	3	6	0
5144	8	3	7	0
5145	8	3	8	0
5146	8	3	9	0
5147	8	3	10	0
5148	8	3	11	0
5149	8	3	12	0
5150	8	3	13	0
5151	8	3	14	0
5152	8	3	15	0
5153	8	3	16	0
5154	8	3	17	0
5155	8	3	18	0
5156	8	3	19	0
5157	8	3	20	0
5158	8	3	21	0
5159	8	3	22	0
5160	8	3	23	0
5161	8	4	0	0
5162	8	4	1	0
5163	8	4	2	0
5164	8	4	3	0
5165	8	4	4	0
5166	8	4	5	0
5167	8	4	6	0
5168	8	4	7	0
5169	8	4	8	0
5170	8	4	9	0
5171	8	4	10	0
5172	8	4	11	0
5173	8	4	12	0
5174	8	4	13	0
5175	8	4	14	0
5176	8	4	15	0
5177	8	4	16	0
5178	8	4	17	0
5179	8	4	18	0
5180	8	4	19	0
5181	8	4	20	0
5182	8	4	21	0
5183	8	4	22	0
5184	8	4	23	0
5185	8	5	0	0
5186	8	5	1	0
5187	8	5	2	0
5188	8	5	3	0
5189	8	5	4	0
5190	8	5	5	0
5191	8	5	6	0
5192	8	5	7	0
5193	8	5	8	0
5194	8	5	9	0
5195	8	5	10	0
5196	8	5	11	0
5197	8	5	12	0
5198	8	5	13	0
5199	8	5	14	0
5200	8	5	15	0
5201	8	5	16	0
5202	8	5	17	0
5203	8	5	18	0
5204	8	5	19	0
5205	8	5	20	0
5206	8	5	21	0
5207	8	5	22	0
5208	8	5	23	0
5209	8	6	0	0
5210	8	6	1	0
5211	8	6	2	0
5212	8	6	3	0
5213	8	6	4	0
5214	8	6	5	0
5215	8	6	6	0
5216	8	6	7	0
5217	8	6	8	0
5218	8	6	9	0
5219	8	6	10	0
5220	8	6	11	0
5221	8	6	12	0
5222	8	6	13	0
5223	8	6	14	0
5224	8	6	15	0
5225	8	6	16	0
5226	8	6	17	0
5227	8	6	18	0
5228	8	6	19	0
5229	8	6	20	0
5230	8	6	21	0
5231	8	6	22	0
5232	8	6	23	0
5233	8	7	0	0
5234	8	7	1	0
5235	8	7	2	0
5236	8	7	3	0
5237	8	7	4	0
5238	8	7	5	0
5239	8	7	6	0
5240	8	7	7	0
5241	8	7	8	0
5242	8	7	9	0
5243	8	7	10	0
5244	8	7	11	0
5245	8	7	12	0
5246	8	7	13	0
5247	8	7	14	0
5248	8	7	15	0
5249	8	7	16	0
5250	8	7	17	0
5251	8	7	18	0
5252	8	7	19	0
5253	8	7	20	0
5254	8	7	21	0
5255	8	7	22	0
5256	8	7	23	0
5257	8	8	0	0
5258	8	8	1	0
5259	8	8	2	0
5260	8	8	3	0
5261	8	8	4	0
5262	8	8	5	0
5263	8	8	6	0
5264	8	8	7	0
5265	8	8	8	0
5266	8	8	9	0
5267	8	8	10	0
5268	8	8	11	0
5269	8	8	12	0
5270	8	8	13	0
5271	8	8	14	0
5272	8	8	15	0
5273	8	8	16	0
5274	8	8	17	0
5275	8	8	18	0
5276	8	8	19	0
5277	8	8	20	0
5278	8	8	21	0
5279	8	8	22	0
5280	8	8	23	0
5281	8	9	0	0
5282	8	9	1	0
5283	8	9	2	0
5284	8	9	3	0
5285	8	9	4	0
5286	8	9	5	0
5287	8	9	6	0
5288	8	9	7	0
5289	8	9	8	0
5290	8	9	9	0
5291	8	9	10	0
5292	8	9	11	0
5293	8	9	12	0
5294	8	9	13	0
5295	8	9	14	0
5296	8	9	15	0
5297	8	9	16	0
5298	8	9	17	0
5299	8	9	18	0
5300	8	9	19	0
5301	8	9	20	0
5302	8	9	21	0
5303	8	9	22	0
5304	8	9	23	0
5305	8	10	0	0
5306	8	10	1	0
5307	8	10	2	0
5308	8	10	3	0
5309	8	10	4	0
5310	8	10	5	0
5311	8	10	6	0
5312	8	10	7	0
5313	8	10	8	0
5314	8	10	9	0
5315	8	10	10	0
5316	8	10	11	0
5317	8	10	12	0
5318	8	10	13	0
5319	8	10	14	0
5320	8	10	15	0
5321	8	10	16	0
5322	8	10	17	0
5323	8	10	18	0
5324	8	10	19	0
5325	8	10	20	0
5326	8	10	21	0
5327	8	10	22	0
5328	8	10	23	0
5329	8	11	0	0
5330	8	11	1	0
5331	8	11	2	0
5332	8	11	3	0
5333	8	11	4	0
5334	8	11	5	0
5335	8	11	6	0
5336	8	11	7	0
5337	8	11	8	0
5338	8	11	9	0
5339	8	11	10	0
5340	8	11	11	0
5341	8	11	12	0
5342	8	11	13	0
5343	8	11	14	0
5344	8	11	15	0
5345	8	11	16	0
5346	8	11	17	0
5347	8	11	18	0
5348	8	11	19	0
5349	8	11	20	0
5350	8	11	21	0
5351	8	11	22	0
5352	8	11	23	0
5353	8	12	0	0
5354	8	12	1	0
5355	8	12	2	0
5356	8	12	3	0
5357	8	12	4	0
5358	8	12	5	0
5359	8	12	6	0
5360	8	12	7	0
5361	8	12	8	0
5362	8	12	9	0
5363	8	12	10	0
5364	8	12	11	0
5365	8	12	12	0
5366	8	12	13	0
5367	8	12	14	0
5368	8	12	15	0
5369	8	12	16	0
5370	8	12	17	0
5371	8	12	18	0
5372	8	12	19	0
5373	8	12	20	0
5374	8	12	21	0
5375	8	12	22	0
5376	8	12	23	0
5377	8	13	0	0
5378	8	13	1	0
5379	8	13	2	0
5380	8	13	3	0
5381	8	13	4	0
5382	8	13	5	0
5383	8	13	6	0
5384	8	13	7	0
5385	8	13	8	0
5386	8	13	9	0
5387	8	13	10	0
5388	8	13	11	0
5389	8	13	12	0
5390	8	13	13	0
5391	8	13	14	0
5392	8	13	15	0
5393	8	13	16	0
5394	8	13	17	0
5395	8	13	18	0
5396	8	13	19	0
5397	8	13	20	0
5398	8	13	21	0
5399	8	13	22	0
5400	8	13	23	0
5401	8	14	0	0
5402	8	14	1	0
5403	8	14	2	0
5404	8	14	3	0
5405	8	14	4	0
5406	8	14	5	0
5407	8	14	6	0
5408	8	14	7	0
5409	8	14	8	0
5410	8	14	9	0
5411	8	14	10	0
5412	8	14	11	0
5413	8	14	12	0
5414	8	14	13	0
5415	8	14	14	0
5416	8	14	15	0
5417	8	14	16	0
5418	8	14	17	0
5419	8	14	18	0
5420	8	14	19	0
5421	8	14	20	0
5422	8	14	21	0
5423	8	14	22	0
5424	8	14	23	0
5425	8	15	0	0
5426	8	15	1	0
5427	8	15	2	0
5428	8	15	3	0
5429	8	15	4	0
5430	8	15	5	0
5431	8	15	6	0
5432	8	15	7	0
5433	8	15	8	0
5434	8	15	9	0
5435	8	15	10	0
5436	8	15	11	0
5437	8	15	12	0
5438	8	15	13	0
5439	8	15	14	0
5440	8	15	15	0
5441	8	15	16	0
5442	8	15	17	0
5443	8	15	18	0
5444	8	15	19	0
5445	8	15	20	0
5446	8	15	21	0
5447	8	15	22	0
5448	8	15	23	0
5449	8	16	0	0
5450	8	16	1	0
5451	8	16	2	0
5452	8	16	3	0
5453	8	16	4	0
5454	8	16	5	0
5455	8	16	6	0
5456	8	16	7	0
5457	8	16	8	0
5458	8	16	9	0
5459	8	16	10	0
5460	8	16	11	0
5461	8	16	12	0
5462	8	16	13	0
5463	8	16	14	0
5464	8	16	15	0
5465	8	16	16	0
5466	8	16	17	0
5467	8	16	18	0
5468	8	16	19	0
5469	8	16	20	0
5470	8	16	21	0
5471	8	16	22	0
5472	8	16	23	0
5473	8	17	0	0
5474	8	17	1	0
5475	8	17	2	0
5476	8	17	3	0
5477	8	17	4	0
5478	8	17	5	0
5479	8	17	6	0
5480	8	17	7	0
5481	8	17	8	0
5482	8	17	9	0
5483	8	17	10	0
5484	8	17	11	0
5485	8	17	12	0
5486	8	17	13	0
5487	8	17	14	0
5488	8	17	15	0
5489	8	17	16	0
5490	8	17	17	0
5491	8	17	18	0
5492	8	17	19	0
5493	8	17	20	0
5494	8	17	21	0
5495	8	17	22	0
5496	8	17	23	0
5497	8	18	0	0
5498	8	18	1	0
5499	8	18	2	0
5500	8	18	3	0
5501	8	18	4	0
5502	8	18	5	0
5503	8	18	6	0
5504	8	18	7	0
5505	8	18	8	0
5506	8	18	9	0
5507	8	18	10	0
5508	8	18	11	0
5509	8	18	12	0
5510	8	18	13	0
5511	8	18	14	0
5512	8	18	15	0
5513	8	18	16	0
5514	8	18	17	0
5515	8	18	18	0
5516	8	18	19	0
5517	8	18	20	0
5518	8	18	21	0
5519	8	18	22	0
5520	8	18	23	0
5521	8	19	0	0
5522	8	19	1	0
5523	8	19	2	0
5524	8	19	3	0
5525	8	19	4	0
5526	8	19	5	0
5527	8	19	6	0
5528	8	19	7	0
5529	8	19	8	0
5530	8	19	9	0
5531	8	19	10	0
5532	8	19	11	0
5533	8	19	12	0
5534	8	19	13	0
5535	8	19	14	0
5536	8	19	15	0
5537	8	19	16	0
5538	8	19	17	0
5539	8	19	18	0
5540	8	19	19	0
5541	8	19	20	0
5542	8	19	21	0
5543	8	19	22	0
5544	8	19	23	0
5545	8	20	0	0
5546	8	20	1	0
5547	8	20	2	0
5548	8	20	3	0
5549	8	20	4	0
5550	8	20	5	0
5551	8	20	6	0
5552	8	20	7	0
5553	8	20	8	0
5554	8	20	9	0
5555	8	20	10	0
5556	8	20	11	0
5557	8	20	12	0
5558	8	20	13	0
5559	8	20	14	0
5560	8	20	15	0
5561	8	20	16	0
5562	8	20	17	0
5563	8	20	18	0
5564	8	20	19	0
5565	8	20	20	0
5566	8	20	21	0
5567	8	20	22	0
5568	8	20	23	0
5569	8	21	0	0
5570	8	21	1	0
5571	8	21	2	0
5572	8	21	3	0
5573	8	21	4	0
5574	8	21	5	0
5575	8	21	6	0
5576	8	21	7	0
5577	8	21	8	0
5578	8	21	9	0
5579	8	21	10	0
5580	8	21	11	0
5581	8	21	12	0
5582	8	21	13	0
5583	8	21	14	0
5584	8	21	15	0
5585	8	21	16	0
5586	8	21	17	0
5587	8	21	18	0
5588	8	21	19	0
5589	8	21	20	0
5590	8	21	21	0
5591	8	21	22	0
5592	8	21	23	0
5593	8	22	0	0
5594	8	22	1	0
5595	8	22	2	0
5596	8	22	3	0
5597	8	22	4	0
5598	8	22	5	0
5599	8	22	6	0
5600	8	22	7	0
5601	8	22	8	0
5602	8	22	9	0
5603	8	22	10	0
5604	8	22	11	0
5605	8	22	12	0
5606	8	22	13	0
5607	8	22	14	0
5608	8	22	15	0
5609	8	22	16	0
5610	8	22	17	0
5611	8	22	18	0
5612	8	22	19	0
5613	8	22	20	0
5614	8	22	21	0
5615	8	22	22	0
5616	8	22	23	0
5617	8	23	0	0
5618	8	23	1	0
5619	8	23	2	0
5620	8	23	3	0
5621	8	23	4	0
5622	8	23	5	0
5623	8	23	6	0
5624	8	23	7	0
5625	8	23	8	0
5626	8	23	9	0
5627	8	23	10	0
5628	8	23	11	0
5629	8	23	12	0
5630	8	23	13	0
5631	8	23	14	0
5632	8	23	15	0
5633	8	23	16	0
5634	8	23	17	0
5635	8	23	18	0
5636	8	23	19	0
5637	8	23	20	0
5638	8	23	21	0
5639	8	23	22	0
5640	8	23	23	0
5641	8	24	0	0
5642	8	24	1	0
5643	8	24	2	0
5644	8	24	3	0
5645	8	24	4	0
5646	8	24	5	0
5647	8	24	6	0
5648	8	24	7	0
5649	8	24	8	0
5650	8	24	9	0
5651	8	24	10	0
5652	8	24	11	0
5653	8	24	12	0
5654	8	24	13	0
5655	8	24	14	0
5656	8	24	15	0
5657	8	24	16	0
5658	8	24	17	0
5659	8	24	18	0
5660	8	24	19	0
5661	8	24	20	0
5662	8	24	21	0
5663	8	24	22	0
5664	8	24	23	0
5665	8	25	0	0
5666	8	25	1	0
5667	8	25	2	0
5668	8	25	3	0
5669	8	25	4	0
5670	8	25	5	0
5671	8	25	6	0
5672	8	25	7	0
5673	8	25	8	0
5674	8	25	9	0
5675	8	25	10	0
5676	8	25	11	0
5677	8	25	12	0
5678	8	25	13	0
5679	8	25	14	0
5680	8	25	15	0
5681	8	25	16	0
5682	8	25	17	0
5683	8	25	18	0
5684	8	25	19	0
5685	8	25	20	0
5686	8	25	21	0
5687	8	25	22	0
5688	8	25	23	0
5689	8	26	0	0
5690	8	26	1	0
5691	8	26	2	0
5692	8	26	3	0
5693	8	26	4	0
5694	8	26	5	0
5695	8	26	6	0
5696	8	26	7	0
5697	8	26	8	0
5698	8	26	9	0
5699	8	26	10	0
5700	8	26	11	0
5701	8	26	12	0
5702	8	26	13	0
5703	8	26	14	0
5704	8	26	15	0
5705	8	26	16	0
5706	8	26	17	0
5707	8	26	18	0
5708	8	26	19	0
5709	8	26	20	0
5710	8	26	21	0
5711	8	26	22	0
5712	8	26	23	0
5713	8	27	0	0
5714	8	27	1	0
5715	8	27	2	0
5716	8	27	3	0
5717	8	27	4	0
5718	8	27	5	0
5719	8	27	6	0
5720	8	27	7	0
5721	8	27	8	0
5722	8	27	9	0
5723	8	27	10	0
5724	8	27	11	0
5725	8	27	12	0
5726	8	27	13	0
5727	8	27	14	0
5728	8	27	15	0
5729	8	27	16	0
5730	8	27	17	0
5731	8	27	18	0
5732	8	27	19	0
5733	8	27	20	0
5734	8	27	21	0
5735	8	27	22	0
5736	8	27	23	0
5737	8	28	0	0
5738	8	28	1	0
5739	8	28	2	0
5740	8	28	3	0
5741	8	28	4	0
5742	8	28	5	0
